,id,t3,t4,t5,t6,first_hydrophone,second_hydrophone,relative_depth,depth,picking_method,dt,dt_pick_method,max_amp,origin_time
86,86,18107.94875006943,18107.94874956017,18107.948749594896,18107.94875055554,3,4,70.0,240.0,3,0.04,1,4.896490214467138,2019-07-30T22:46:11.965999Z
87,87,18107.94875917823,18107.948758668972,18107.948758703693,18107.948759699062,3,4,70.0,240.0,3,0.04,1,1.6598631214511081,2019-07-30T22:46:12.752999Z
88,88,18107.94876858795,18107.94876810184,18107.94876813656,18107.94876909721,3,4,70.0,240.0,3,0.04,1,3.8077217608562965,2019-07-30T22:46:13.565999Z
89,89,18107.948825752304,18107.948825254618,18107.948825277766,18107.94882523147,3,4,70.0,240.0,3,0.04,1,1.5661645902018884,2019-07-30T22:46:18.504999Z
90,90,18107.948850428227,18107.948849942117,18107.948849953693,18107.948853379618,3,4,70.0,240.0,3,0.04,1,3.100955011569196,2019-07-30T22:46:20.636999Z
91,91,18107.94885747684,18107.94886046295,18107.94885696758,18107.948859629618,3,4,0.0,170.0,3,-0.04,-1,0.9327455599469828,2019-07-30T22:46:21.285999Z
92,92,18107.948864756934,18107.948864293972,18107.948864305545,18107.948865266193,3,4,70.0,240.0,3,0.04,0,8.24928652722202,2019-07-30T22:46:21.874999Z
93,93,18107.948865023136,18107.94887074073,18107.948870763877,18107.94886523147,3,4,0.0,170.0,3,-0.04,-1,1.7204915828476621,2019-07-30T22:46:21.937999Z
94,94,18107.948870972214,18107.948872627305,18107.948872627305,18107.948871805547,3,4,0.0,170.0,3,-0.04,-1,1.6988688448670728,2019-07-30T22:46:22.451999Z
95,95,18107.948929363414,18107.948928900452,18107.948928900452,18107.94892982638,3,4,70.0,240.0,3,0.04,0,8.897120716130651,2019-07-30T22:46:27.456999Z
96,96,18107.948932835636,18107.948932372674,18107.948932372674,18107.948935763878,3,4,70.0,240.0,3,0.04,0,5.496839174869378,2019-07-30T22:46:27.756999Z
97,97,18107.948936446748,18107.94893597221,18107.94893597221,18107.948937152767,3,4,70.0,240.0,3,0.04,1,7.723557211615539,2019-07-30T22:46:28.068999Z
98,98,18107.94894247684,18107.948938425914,18107.948942488416,18107.948936898138,3,4,70.0,240.0,3,0.04,1,5.900463617173709,2019-07-30T22:46:28.589999Z
99,99,18107.949155439805,18107.949155023136,18107.949154965267,18107.949155925915,3,4,66.5,236.5,3,0.036,0,6.198518221102223,2019-07-30T22:46:46.991999Z
100,100,18107.94915696758,18107.94915695601,18107.949156898136,18107.949158703694,3,4,35.875,205.875,3,0.001,0,5.144515738362132,2019-07-30T22:46:47.141499Z
101,101,18107.949164143505,18107.949163738413,18107.949163680543,18107.949164849524,3,4,65.625,235.625,3,0.035,0,3.568175742051731,2019-07-30T22:46:47.744499Z
102,102,18107.94917429397,18107.949173877303,18107.949173819434,18107.949177280083,3,4,66.5,236.5,3,0.036,0,0.5952612573479835,2019-07-30T22:46:48.620999Z
103,103,18107.949175277765,18107.949177627303,18107.94917755786,18107.949181030082,3,4,0.0,170.0,3,-0.04,-1,0.8479505090427117,2019-07-30T22:46:48.743999Z
104,104,18107.94936372684,18107.949363368043,18107.949363263877,18107.949364224525,3,4,62.125,232.125,3,0.031,0,2.2665717106711685,2019-07-30T22:47:04.990499Z
105,105,18107.949392499988,18107.949392141192,18107.949392025454,18107.949390381935,3,4,62.125,232.125,3,0.031,0,2.6748598807752337,2019-07-30T22:47:07.476499Z
106,106,18107.949448136565,18107.94944781249,18107.9494476736,18107.949449074065,3,4,59.5,229.5,3,0.028,0,3.106466689877974,2019-07-30T22:47:12.284999Z
107,107,18107.9496354398,18107.949635162022,18107.949634594894,18107.949635960635,3,4,56.0,226.0,3,0.024,0,4.606915115629052,2019-07-30T22:47:28.469999Z
108,108,18107.94964269675,18107.94964650462,18107.949642222215,18107.949641747677,3,4,0.0,170.0,3,-0.04,-1,4.577236847812558,2019-07-30T22:47:29.128999Z
109,109,18107.949649780083,18107.94964622684,18107.949645555545,18107.94964412036,3,4,70.0,240.0,3,0.04,1,3.889125009724397,2019-07-30T22:47:29.700999Z
110,110,18107.9496526736,18107.949652372674,18107.949649907394,18107.94965335647,3,4,57.75,227.75,3,0.026,0,1.9935316467594153,2019-07-30T22:47:29.957999Z
111,111,18107.94966199073,18107.94966171295,18107.94966153934,18107.94966247684,3,4,56.0,226.0,3,0.024,0,7.369113898835686,2019-07-30T22:47:30.763999Z
112,112,18107.949667835637,18107.94966755786,18107.949670532398,18107.949668298603,3,4,56.0,226.0,3,0.024,0,1.7069243747029788,2019-07-30T22:47:31.268999Z
113,113,18107.94967099536,18107.94967070601,18107.949670532398,18107.949671458326,3,4,56.875,226.875,3,0.025,0,1.7069243747029788,2019-07-30T22:47:31.541499Z
114,114,18107.94967571758,18107.949675439802,18107.94967526619,18107.94967622684,3,4,56.0,226.0,3,0.024,0,2.5137492840571185,2019-07-30T22:47:31.949999Z
115,115,18107.949692939805,18107.9496926736,18107.949692465267,18107.949693437487,3,4,55.125,225.125,3,0.023,0,2.5315562447470157,2019-07-30T22:47:33.438499Z
116,116,18107.949698877303,18107.949698611097,18107.949698425913,18107.94969938656,3,4,55.125,225.125,3,0.023,0,2.6417898109225684,2019-07-30T22:47:33.951499Z
117,117,18107.94970245369,18107.949702175913,18107.949701979156,18107.949702951377,3,4,56.0,226.0,3,0.024,0,4.725628186895031,2019-07-30T22:47:34.259999Z
118,118,18107.949702951373,18107.94970296295,18107.94970870369,18107.94970348378,3,4,34.125,204.125,3,-0.001,0,1.6674946760324925,2019-07-30T22:47:34.315499Z
119,119,18107.94976622684,18107.94976833332,18107.949765879617,18107.949767175913,3,4,0.0,170.0,3,-0.04,-1,3.866230345980244,2019-07-30T22:47:39.801999Z
120,120,18107.94977458332,18107.949774618046,18107.94976886573,18107.949768888877,3,4,32.375,202.375,3,-0.003,0,2.9292450334880473,2019-07-30T22:47:40.505499Z
121,121,18107.949822025454,18107.949821805545,18107.949821574064,18107.949822534712,3,4,51.625,221.625,3,0.019,0,2.1504024909323167,2019-07-30T22:47:44.593499Z
122,122,18107.949853738417,18107.949853530085,18107.949853287028,18107.949852187492,3,4,50.75,220.75,3,0.018,0,1.0616340373214752,2019-07-30T22:47:47.333999Z
123,123,18107.94985781249,18107.94985758101,18107.9498573611,18107.94985832175,3,4,52.5,222.5,3,0.02,0,0.6796323329977334,2019-07-30T22:47:47.684999Z
