,h3_h3_dt,h3_h3_depth,id,h3_h4_dt,h3_h4_depth,h3_h5_dt,h3_h5_depth,h3_h6_dt,h3_h6_depth,h4_h3_dt,h4_h3_depth,h4_h4_dt,h4_h4_depth,h4_h5_dt,h4_h5_depth,h4_h6_dt,h4_h6_depth,h5_h3_dt,h5_h3_depth,h5_h4_dt,h5_h4_depth,h5_h5_dt,h5_h5_depth,h5_h6_dt,h5_h6_depth,h6_h3_dt,h6_h3_depth,h6_h4_dt,h6_h4_depth,h6_h5_dt,h6_h5_depth,h6_h6_dt,h6_h6_depth
26,0.0,,26,0.192,373.0,0.192,373.0,0.192,373.0,-0.192,443.0,0.0,,0.0,275.0,0.0,275.0,-0.192,513.0,0.0,345.0,0.0,,0.0,345.0,-0.192,583.0,0.0,415.0,0.0,415.0,0.0,
27,0.0,,27,0.15400000000000003,339.75,0.14800000000000002,334.5,0.125,314.375,-0.15400000000000003,409.75,0.0,,-0.006000000000000005,269.75,-0.028999999999999998,249.625,-0.14800000000000002,474.5,0.006000000000000005,339.75,0.0,,-0.022999999999999993,324.875,-0.125,524.375,0.028999999999999998,389.625,0.022999999999999993,394.875,0.0,
28,0.0,,28,0.093,286.375,0.17099999999999999,354.625,0.18,362.5,-0.093,356.375,0.0,,0.078,343.25,0.087,351.125,-0.17099999999999999,494.625,-0.078,413.25,0.0,,0.009,352.875,-0.18,572.5,-0.087,491.125,-0.009,422.875,0.0,
29,0.0,,29,-0.03900000000000001,170.875,0.147,333.625,0.158,343.25,0.03900000000000001,240.875,0.0,,0.186,437.75,0.197,447.375,-0.147,473.625,-0.186,507.75,0.0,,0.011,354.625,-0.158,553.25,-0.197,587.375,-0.011,424.625,0.0,
30,0.0,,30,0.196,376.5,0.196,376.5,-0.0010000000000000009,204.125,-0.196,446.5,0.0,,0.0,275.0,-0.197,102.625,-0.196,516.5,0.0,345.0,0.0,,-0.197,172.625,0.0010000000000000009,414.125,0.197,242.625,0.197,242.625,0.0,
31,0.0,,31,0.17300000000000001,356.375,-0.007000000000000006,198.875,0.136,324.0,-0.17300000000000001,426.375,0.0,,-0.18000000000000002,117.49999999999997,-0.037000000000000005,242.625,0.007000000000000006,338.875,0.18000000000000002,187.49999999999997,0.0,,0.14300000000000002,470.125,-0.136,534.0,0.037000000000000005,382.625,-0.14300000000000002,540.125,0.0,
32,0.0,,32,0.02200000000000002,224.25,0.01100000000000001,214.625,0.14600000000000002,332.75,-0.02200000000000002,294.25,0.0,,-0.01100000000000001,265.375,0.124,383.5,-0.01100000000000001,354.625,0.01100000000000001,335.375,0.0,,0.135,463.125,-0.14600000000000002,542.75,-0.124,523.5,-0.135,533.125,0.0,
33,0.0,,33,0.09500000000000001,288.125,0.196,376.5,0.196,376.5,-0.09500000000000001,358.125,0.0,,0.10099999999999999,363.375,0.10099999999999999,363.375,-0.196,516.5,-0.10099999999999999,433.375,0.0,,0.0,345.0,-0.196,586.5,-0.10099999999999999,503.375,0.0,415.0,0.0,
34,0.0,,34,-0.04799999999999999,163.0,0.052000000000000005,250.5,-0.062,150.75,0.04799999999999999,233.0,0.0,,0.09999999999999999,362.5,-0.014000000000000012,262.75,-0.052000000000000005,390.5,-0.09999999999999999,432.5,0.0,,-0.114,245.25,0.062,360.75,0.014000000000000012,402.75,0.114,315.25,0.0,
35,0.0,,35,0.08700000000000001,281.125,0.009000000000000008,212.875,0.009000000000000008,212.875,-0.08700000000000001,351.125,0.0,,-0.078,206.75,-0.078,206.75,-0.009000000000000008,352.875,0.078,276.75,0.0,,0.0,345.0,-0.009000000000000008,422.875,0.078,346.75,0.0,415.0,0.0,
