arrival_hydrophone,init_arrival_time
h3,18093.951539837963
h3,18093.951545868054
h3,18093.951689988426
h3,18093.951709421297
h3,18093.95171454861
h3,18093.951723645834
h3,18093.951728506945
h3,18093.951735208335
h3,18093.951740358796
h3,18093.95175097222
h3,18093.951762719906
h3,18093.95176363426
h3,18093.95176814815
h3,18093.95178755787
h3,18093.951798599537
h3,18093.95180761574
h3,18093.95183732639
h3,18093.951862604168
h3,18093.95232019676
h3,18093.952324363425
h3,18093.952338055555
h3,18093.952904027778
h3,18093.952909328702
h3,18093.95294204861
h3,18093.952950347222
h3,18093.952968333335
h3,18093.95369369213
h3,18093.953701909722
h3,18093.95376835648
h3,18093.95437628472
h3,18093.954526863425
h3,18093.954694050924
h3,18093.95473684028
h3,18093.95477371528
h3,18093.954781481483
h3,18093.954833391203
h3,18093.954840069444
h3,18093.954854212963
h3,18093.95486609954
h3,18093.954903622685
h3,18093.95586011574
h3,18093.955869479167
h3,18093.955876157408
h3,18093.955932442128
h3,18093.95596380787
h3,18093.95601730324
h3,18093.956023900464
h3,18093.956026689815
h3,18093.95605414352
h3,18093.956119837963
h3,18093.956120810184
h3,18093.956126863424
h3,18093.956252418982
h3,18093.95664488426
h3,18093.956653576388
h3,18093.956656180555
h3,18093.956666435184
h3,18093.956672349537
h3,18093.956683703705
h3,18093.956686886573
h3,18093.95668869213
h3,18093.95669158565
h3,18093.956706875
h3,18093.956999270835
h3,18093.95710835648
h3,18093.957168252316
h3,18093.957197094907
h3,18093.95760640046
h3,18093.957611631944
h3,18093.957623622686
h3,18093.957626770833
h3,18093.957639039352
h3,18093.958043217594
h3,18093.95805318287
h3,18093.958057337964
h3,18093.95818991898
h3,18093.960405752314
h3,18093.962817604166
h3,18093.982765208333
h3,18093.982767766203
h3,18093.98704224537
h3,18093.99314810185
h4,18093.920863275463
h4,18093.923579120372
h4,18093.923988425926
h4,18093.924237997686
h4,18093.924241921297
h4,18093.924926805557
h4,18093.92493383102
h4,18093.92524841435
h4,18093.92525763889
h4,18093.92528363426
h4,18093.925285405094
h4,18093.92528880787
h4,18093.925290995372
h4,18093.925305127315
h4,18093.925762685187
h4,18093.925766053242
h4,18093.926189074075
h4,18093.92647939815
h4,18093.926636493055
h4,18093.926643043982
h4,18093.926644594907
h4,18093.926678287036
h4,18093.926933391205
h4,18093.927403148147
h4,18093.927407372685
h4,18093.927408726853
h4,18093.927410532408
h4,18093.927412280093
h4,18093.927723148146
h4,18093.927724050925
h4,18093.927926215278
h4,18093.9279315625
h4,18093.92846059028
h4,18093.92867584491
h4,18093.928682175927
h4,18093.928867592593
h4,18093.928870891203
h4,18093.928874652778
h4,18093.92887755787
h4,18093.9288796875
h4,18093.928887534723
h4,18093.92893517361
h4,18093.929354270833
h4,18093.929383275463
h4,18093.930158275463
h4,18093.930712430556
h4,18093.930714525464
h4,18093.93071849537
h4,18093.93092494213
h4,18093.930944050924
h4,18093.930994421295
h4,18093.930996967592
h4,18093.931751203705
h4,18093.932095115742
h4,18093.93255263889
h4,18093.932740613425
h4,18093.933308425927
h4,18093.93402097222
h4,18093.93505193287
h4,18093.940987268517
h4,18093.94774269676
h4,18093.948407905093
h4,18093.949067118054
h4,18093.95013988426
h4,18093.950505439814
h4,18093.950701134258
h4,18093.950791319443
h4,18093.951214942128
h4,18093.95121675926
h4,18093.951354618057
h4,18093.951389537036
h4,18093.951393703705
h4,18093.951399421298
h4,18093.951404895834
h4,18093.951409513887
h4,18093.951413993054
h4,18093.951417905093
h4,18093.951422685186
h4,18093.95144886574
h4,18093.95145207176
h4,18093.951478993054
h4,18093.951484039353
h4,18093.95151599537
h4,18093.951530474536
h4,18093.951535497687
h4,18093.951540092592
h4,18093.951690231483
h4,18093.951707997687
h4,18093.95171480324
h4,18093.951723888887
h4,18093.95172875
h4,18093.951735462964
h4,18093.951740601853
h4,18093.951751215278
h4,18093.951762962963
h4,18093.951763877314
h4,18093.951768391205
h4,18093.951787800925
h4,18093.951837604167
h4,18093.95186283565
h4,18093.95189236111
h4,18093.952320405093
h4,18093.95232457176
h4,18093.952338263887
h4,18093.952904189813
h4,18093.95290949074
h4,18093.95294221065
h4,18093.952968472222
h4,18093.953693796295
h4,18093.953698564816
h4,18093.95370199074
h4,18093.953768425927
h4,18093.954376342594
h4,18093.95452690972
h4,18093.9546940625
h4,18093.95471074074
h4,18093.954735358795
h4,18093.954736863427
h4,18093.95477371528
h4,18093.954781481483
h4,18093.954798055554
h4,18093.95483341435
h4,18093.95484008102
h4,18093.954854224536
h4,18093.95486609954
h4,18093.954898101852
h4,18093.954903634258
h4,18093.95491935185
h4,18093.955375925925
h4,18093.95540230324
h4,18093.955671087962
h4,18093.955860046295
h4,18093.955860949074
h4,18093.955864884258
h4,18093.95586939815
h4,18093.95587607639
h4,18093.95588196759
h4,18093.95588773148
h4,18093.9559209375
h4,18093.955928726853
h4,18093.95593236111
h4,18093.95593556713
h4,18093.955945069443
h4,18093.95596372685
h4,18093.955971481482
h4,18093.955976099536
h4,18093.955979166665
h4,18093.956017222223
h4,18093.95602380787
h4,18093.95602658565
h4,18093.956034699073
h4,18093.95604451389
h4,18093.95604767361
h4,18093.9560540625
h4,18093.956063449074
h4,18093.956092488424
h4,18093.95610125
h4,18093.956105671296
h4,18093.956113368055
h4,18093.9561175
h4,18093.95611974537
h4,18093.956121238425
h4,18093.956126770834
h4,18093.956241412037
h4,18093.956249479168
h4,18093.956252314816
h4,18093.95625712963
h4,18093.956261689815
h4,18093.956638391202
h4,18093.956644756945
h4,18093.95664574074
h4,18093.956649884258
h4,18093.9566534375
h4,18093.95665605324
h4,18093.956658252315
h4,18093.956662905093
h4,18093.95666630787
h4,18093.956667858798
h4,18093.956672210647
h4,18093.956676979167
h4,18093.956678252314
h4,18093.956681840278
h4,18093.956683564815
h4,18093.956686747686
h4,18093.95668855324
h4,18093.956691446758
h4,18093.956693796295
h4,18093.956698472222
h4,18093.956703067128
h4,18093.956706747686
h4,18093.956720231483
h4,18093.956885266205
h4,18093.956897604166
h4,18093.956904097224
h4,18093.956924050926
h4,18093.95696039352
h4,18093.956986770834
h4,18093.956999131944
h4,18093.957002523148
h4,18093.95700650463
h4,18093.957009479167
h4,18093.957015104166
h4,18093.95701920139
h4,18093.957020162037
h4,18093.957022916667
h4,18093.95702915509
h4,18093.957032719907
h4,18093.957036469907
h4,18093.957054166665
h4,18093.957064699072
h4,18093.957082395835
h4,18093.957086342594
h4,18093.957089907406
h4,18093.957099305557
h4,18093.957103483797
h4,18093.957108194445
h4,18093.957113333334
h4,18093.957125162036
h4,18093.95712603009
h4,18093.957153935185
h4,18093.957164375
h4,18093.957168090277
h4,18093.957173333332
h4,18093.95717491898
h4,18093.957179907407
h4,18093.957185034724
h4,18093.957191527777
h4,18093.957196921296
h4,18093.95719820602
h4,18093.95720324074
h4,18093.957207604166
h4,18093.957214224538
h4,18093.957242453704
h4,18093.957243587964
h4,18093.957247025464
h4,18093.957388460647
h4,18093.957389328705
h4,18093.957403090277
h4,18093.95740763889
h4,18093.957421770832
h4,18093.957579421298
h4,18093.95759082176
h4,18093.957606203705
h4,18093.957611435184
h4,18093.957615335647
h4,18093.957623425926
h4,18093.957626574072
h4,18093.957630555557
h4,18093.957638842592
h4,18093.95764023148
h4,18093.957645648148
h4,18093.957650844906
h4,18093.957652939815
h4,18093.957992233798
h4,18093.958000983796
h4,18093.95800778935
h4,18093.958025949076
h4,18093.958034629628
h4,18093.958042986113
h4,18093.958044016203
h4,18093.958048900462
h4,18093.95805028935
h4,18093.958052951388
h4,18093.95805710648
h4,18093.95806097222
h4,18093.958088969906
h4,18093.95809704861
h4,18093.95810363426
h4,18093.958108969906
h4,18093.958181921298
h4,18093.95818287037
h4,18093.95818431713
h4,18093.9581896875
h4,18093.958198935186
h4,18093.958514814814
h4,18093.958519143518
h4,18093.958707002315
h4,18093.958711724536
h4,18093.958715243054
h4,18093.95872361111
h4,18093.958728275462
h4,18093.95873113426
h4,18093.958991724536
h4,18093.95899556713
h4,18093.959020648148
h4,18093.959348356482
h4,18093.959349421297
h4,18093.959355289353
h4,18093.959357650463
h4,18093.95936212963
h4,18093.959364606482
h4,18093.959473032406
h4,18093.95947630787
h4,18093.959477372686
h4,18093.959488055556
h4,18093.959489537036
h4,18093.959496712963
h4,18093.96026883102
h4,18093.96028246528
h4,18093.960405358797
h4,18093.960406458333
h4,18093.96040740741
h4,18093.960408483796
h4,18093.96040980324
h4,18093.960413368055
h4,18093.96041605324
h4,18093.96042366898
h4,18093.96045412037
h4,18093.96045775463
h4,18093.960468368055
h4,18093.960471828705
h4,18093.960473819443
h4,18093.960484074076
h4,18093.961034016203
h4,18093.961038483798
h4,18093.9610434375
h4,18093.961047175926
h4,18093.961048125
h4,18093.961051782408
h4,18093.96105267361
h4,18093.961054328705
h4,18093.961060590278
h4,18093.96151196759
h4,18093.96151304398
h4,18093.961517569445
h4,18093.961529976852
h4,18093.96153396991
h4,18093.961534837963
h4,18093.96153934028
h4,18093.96154287037
h4,18093.961546388888
h4,18093.96173554398
h4,18093.96174409722
h4,18093.96174804398
h4,18093.96175127315
h4,18093.96175949074
h4,18093.961763310184
h4,18093.96176898148
h4,18093.96177027778
h4,18093.96177443287
h4,18093.96181564815
h4,18093.96182216435
h4,18093.96182693287
h4,18093.961827835647
h4,18093.961829201387
h4,18093.961840208332
h4,18093.961843622685
h4,18093.96278335648
h4,18093.962787546297
h4,18093.96279900463
h4,18093.962801724538
h4,18093.962806898147
h4,18093.962812719907
h4,18093.962817141204
h4,18093.962818136573
h4,18093.962822916666
h4,18093.96282545139
h4,18093.962830104167
h4,18093.962831319444
h4,18093.962832314814
h4,18093.962833622685
h4,18093.96284908565
h4,18093.962853125
h4,18093.962859606483
h4,18093.962862627315
h4,18093.962865671296
h4,18093.962873530094
h4,18093.96288
h4,18093.962884907407
h4,18093.9628959375
h4,18093.962902905092
h4,18093.96291847222
h4,18093.962932916667
h4,18093.962943113427
h4,18093.962948113425
h4,18093.962953506943
h4,18093.962954375
h4,18093.962958310185
h4,18093.96295943287
h4,18093.963109733795
h4,18093.96311357639
h4,18093.963116493054
h4,18093.96312097222
h4,18093.963123877315
h4,18093.96312542824
h4,18093.963147604165
h4,18093.96316228009
h4,18093.963588993054
h4,18093.963593784723
h4,18093.96361013889
h4,18093.963615335648
h4,18093.963889768518
h4,18093.963897013888
h4,18093.96390519676
h4,18093.963906493056
h4,18093.96391730324
h4,18093.963923958334
h4,18093.963924837964
h4,18093.963928483798
h4,18093.963935960648
h4,18093.963946435186
h4,18093.963949965277
h4,18093.963953715276
h4,18093.963996712962
h4,18093.96423940972
h4,18093.964243900464
h4,18093.964248310185
h4,18093.964260069446
h4,18093.96426199074
h4,18093.964273113426
h4,18093.96427670139
h4,18093.964279722222
h4,18093.964283969908
h4,18093.96429763889
h4,18093.964303807872
h4,18093.964308217593
h4,18093.964312488424
h4,18093.964316122685
h4,18093.964322962962
h4,18093.964326284724
h4,18093.96433480324
h4,18093.964342083334
h4,18093.964344895834
h4,18093.96434940972
h4,18093.964354664353
h4,18093.964366921296
h4,18093.964383414354
h4,18093.964397314816
h4,18093.96440105324
h4,18093.964404363425
h4,18093.964407650463
h4,18093.964417847223
h4,18093.964419641205
h4,18093.96443587963
h4,18093.964437175928
h4,18093.96443857639
h4,18093.96444482639
h4,18093.964452743057
h4,18093.96446107639
h4,18093.965655405093
h4,18093.96565917824
h4,18093.96568752315
h4,18093.966733020832
h4,18093.966737557872
h4,18093.966742939814
h4,18093.966776840276
h4,18093.966783449076
h4,18093.966795
h4,18093.966828229168
h4,18093.96685730324
h4,18093.96686165509
h4,18093.96686443287
h4,18093.966868738426
h4,18093.966875555554
h4,18093.966877592593
h4,18093.96688327546
h4,18093.967030497686
h4,18093.967035381946
h4,18093.967046296297
h4,18093.967048425926
h4,18093.96704929398
h4,18093.96707150463
h4,18093.967078877315
h4,18093.967081979168
h4,18093.96708949074
h4,18093.967093460647
h4,18093.967095347223
h4,18093.967828391204
h4,18093.96784171296
h4,18093.96784611111
h4,18093.96785116898
h4,18093.967855763887
h4,18093.968248645833
h4,18093.968253483796
h4,18093.968392465278
h4,18093.968395358796
h4,18093.968400150465
h4,18093.96841164352
h4,18093.968414444444
h4,18093.968419050925
h4,18093.96842369213
h4,18093.968435613428
h4,18093.968979768517
h4,18093.96898380787
h4,18093.968999652778
h4,18093.96901584491
h4,18093.969163414353
h4,18093.969813391202
h4,18093.97056986111
h4,18093.97059275463
h4,18093.97059652778
h4,18093.970612291665
h4,18093.97064689815
h4,18093.970652488428
h4,18093.9706584375
h4,18093.9706634375
h4,18093.970677037036
h4,18093.970681469906
h4,18093.970686631943
h4,18093.970691226852
h4,18093.97119480324
h4,18093.971211631946
h4,18093.97336
h4,18093.982765208333
h4,18093.982767766203
h4,18093.98704167824
h4,18093.99314810185
h5,18093.925766527776
h5,18093.926479872684
h5,18093.927407847223
h5,18093.927723611112
h5,18093.928935497686
h5,18093.93071462963
h5,18093.930944131946
h5,18093.930994421295
h5,18093.930996967592
h5,18093.931751157408
h5,18093.932095046297
h5,18093.932287164353
h5,18093.932289733795
h5,18093.93255247685
h5,18093.932554826388
h5,18093.93274045139
h5,18093.933067199076
h5,18093.933308171298
h5,18093.933310092594
h5,18093.933326840277
h5,18093.93333527778
h5,18093.93334050926
h5,18093.933368865743
h5,18093.93399423611
h5,18093.933995625
h5,18093.933998252316
h5,18093.93400164352
h5,18093.934004016202
h5,18093.934012685186
h5,18093.93401523148
h5,18093.934018020835
h5,18093.934020625
h5,18093.934022407408
h5,18093.934346342594
h5,18093.934347511575
h5,18093.93435207176
h5,18093.934688703703
