depth,origin_time,swarm_number
210.25,2019-05-21T07:51:13.832000Z,1
211.125,2019-05-21T07:51:14.646500Z,1
210.25,2019-05-21T07:51:15.434000Z,1
210.25,2019-05-21T07:51:16.104000Z,1
468.375,2019-05-21T07:51:17.469500Z,1
211.125,2019-05-21T07:51:18.288500Z,1
212.0,2019-05-21T07:51:18.923000Z,1
239.125,2019-05-21T07:51:20.736500Z,1
210.25,2019-05-21T07:51:21.669000Z,1
212.0,2019-05-21T07:51:22.074000Z,1
466.625,2019-05-21T07:51:23.331500Z,1
211.125,2019-05-21T07:51:24.060500Z,1
212.0,2019-05-21T07:51:24.464000Z,1
212.0,2019-05-21T07:51:24.870000Z,1
466.625,2019-05-21T07:51:25.066500Z,1
211.125,2019-05-21T07:51:26.573500Z,1
211.125,2019-05-21T07:51:27.036500Z,1
212.0,2019-05-21T07:51:27.313000Z,1
211.125,2019-05-21T07:51:27.777500Z,1
466.625,2019-05-21T07:51:27.913500Z,1
211.125,2019-05-21T07:51:28.551500Z,1
212.875,2019-05-21T07:51:29.332500Z,1
207.625,2019-05-21T07:51:30.815500Z,1
212.875,2019-05-21T07:51:31.221500Z,1
208.5,2019-05-21T07:51:32.048000Z,1
212.875,2019-05-21T07:51:33.018500Z,1
211.125,2019-05-21T07:51:33.627500Z,1
212.875,2019-05-21T07:51:33.824500Z,1
212.875,2019-05-21T07:51:34.444500Z,1
212.0,2019-05-21T07:51:34.797000Z,1
212.875,2019-05-21T07:51:35.154500Z,1
212.0,2019-05-21T07:51:35.604000Z,1
212.875,2019-05-21T07:51:36.013500Z,1
212.875,2019-05-21T07:51:36.892500Z,1
212.875,2019-05-21T07:51:37.559500Z,1
213.75,2019-05-21T07:51:38.271000Z,1
211.125,2019-05-21T07:51:38.876500Z,1
212.0,2019-05-21T07:51:39.726000Z,1
213.75,2019-05-21T07:51:43.983000Z,1
212.0,2019-05-21T07:51:45.021000Z,1
213.75,2019-05-21T07:51:45.324000Z,1
213.75,2019-05-21T07:51:45.645000Z,1
213.75,2019-05-21T07:51:46.154000Z,1
212.0,2019-05-21T07:51:46.764000Z,1
212.0,2019-05-21T07:51:48.954000Z,1
212.875,2019-05-21T07:51:49.921500Z,1
212.0,2019-05-21T07:51:50.379000Z,1
212.875,2019-05-21T07:51:50.868500Z,1
213.75,2019-05-21T07:51:51.322000Z,1
212.875,2019-05-21T07:51:51.774500Z,1
213.75,2019-05-21T07:51:52.439000Z,1
212.875,2019-05-21T07:51:55.286500Z,1
192.75,2019-05-21T07:51:56.040000Z,1
212.875,2019-05-21T07:51:56.992500Z,1
214.625,2019-05-21T07:51:57.520500Z,1
212.875,2019-05-21T07:51:58.981500Z,1
239.125,2019-05-21T07:52:00.420500Z,1
214.625,2019-05-21T07:52:01.375500Z,1
221.625,2019-05-21T07:52:01.831500Z,1
235.625,2019-05-21T07:52:06.339500Z,1
466.625,2019-05-21T07:52:06.939500Z,1
466.625,2019-05-21T07:52:09.498500Z,1
222.5,2019-05-21T07:52:12.165000Z,1
205.875,2019-05-21T07:52:13.425500Z,1
213.75,2019-05-21T07:52:15.980000Z,1
236.5,2019-05-21T07:52:16.676000Z,1
215.5,2019-05-21T07:52:17.905000Z,1
216.375,2019-05-21T07:52:40.121500Z,1
216.375,2019-05-21T07:52:43.034500Z,1
215.5,2019-05-21T07:52:53.297000Z,1
217.25,2019-05-21T07:52:53.950000Z,1
217.25,2019-05-21T07:52:56.440000Z,1
466.625,2019-05-21T07:53:10.410500Z,1
219.0,2019-05-21T07:53:11.161000Z,1
219.0,2019-05-21T07:53:14.792000Z,1
217.25,2019-05-21T07:53:15.411000Z,1
466.625,2019-05-21T07:53:16.304500Z,1
239.125,2019-05-21T07:53:17.179500Z,1
219.875,2019-05-21T07:53:18.168500Z,1
217.25,2019-05-21T07:53:18.983000Z,1
218.125,2019-05-21T07:53:19.717500Z,1
219.0,2019-05-21T07:53:20.001000Z,1
218.125,2019-05-21T07:53:22.319500Z,1
466.625,2019-05-21T07:53:22.571500Z,1
466.625,2019-05-21T07:53:23.530500Z,1
218.125,2019-05-21T07:53:24.130500Z,1
468.375,2019-05-21T07:53:24.416500Z,1
218.125,2019-05-21T07:53:25.953500Z,1
218.125,2019-05-21T07:53:27.688500Z,1
219.875,2019-05-21T07:53:28.730500Z,1
226.0,2019-05-21T07:53:29.565000Z,1
219.875,2019-05-21T07:53:30.423500Z,1
219.0,2019-05-21T07:53:31.681000Z,1
219.0,2019-05-21T07:53:32.543000Z,1
219.875,2019-05-21T07:53:33.345500Z,1
466.625,2019-05-21T07:53:34.006500Z,1
220.75,2019-05-21T07:53:36.261000Z,1
219.875,2019-05-21T07:53:39.174500Z,1
219.0,2019-05-21T07:53:40.444000Z,1
466.625,2019-05-21T07:53:40.906500Z,1
219.875,2019-05-21T07:53:42.795500Z,1
219.0,2019-05-21T07:53:44.883000Z,1
220.75,2019-05-21T07:53:45.535000Z,1
219.875,2019-05-21T07:53:58.147500Z,1
220.75,2019-05-21T07:53:59.581000Z,1
240.875,2019-05-21T07:54:00.833500Z,1
221.625,2019-05-21T07:54:11.205500Z,1
220.75,2019-05-21T07:54:12.521000Z,1
220.75,2019-05-21T07:54:13.925000Z,1
222.5,2019-05-21T07:54:18.007000Z,1
221.625,2019-05-21T07:54:18.968500Z,1
470.125,2019-05-21T07:54:20.172500Z,1
221.625,2019-05-21T07:54:22.623500Z,1
223.375,2019-05-21T07:54:23.063500Z,1
219.875,2019-05-21T07:54:25.749500Z,1
240.0,2019-05-21T07:57:32.364000Z,1
466.625,2019-05-21T07:57:40.629500Z,1
240.875,2019-05-21T07:58:04.140500Z,1
238.25,2019-05-21T07:58:42.832000Z,1
248.75,2019-05-21T08:01:18.864000Z,1
248.75,2019-05-21T08:01:22.170000Z,1
247.875,2019-05-21T08:01:22.688500Z,1
248.75,2019-05-21T08:01:23.145000Z,1
249.625,2019-05-21T08:01:27.775500Z,1
248.75,2019-05-21T08:01:28.931000Z,1
251.375,2019-05-21T08:02:17.819500Z,1
252.25,2019-05-21T08:02:18.554000Z,1
466.625,2019-05-21T08:02:19.157500Z,1
251.375,2019-05-21T08:02:20.498500Z,1
471.0,2019-05-21T08:02:21.003000Z,1
252.25,2019-05-21T08:02:21.728000Z,1
254.0,2019-05-21T08:02:23.231000Z,1
251.375,2019-05-21T08:02:23.852500Z,1
252.25,2019-05-21T08:02:24.285000Z,1
250.5,2019-05-21T08:02:25.569000Z,1
252.25,2019-05-21T08:02:26.566000Z,1
253.125,2019-05-21T08:02:27.425500Z,1
240.875,2019-05-21T08:02:28.094500Z,1
252.25,2019-05-21T08:02:31.351000Z,1
256.625,2019-05-21T08:02:32.117500Z,1
466.625,2019-05-21T08:02:34.222500Z,1
468.375,2019-05-21T08:02:49.440500Z,1
251.375,2019-05-21T08:02:50.745500Z,1
254.0,2019-05-21T08:02:52.062000Z,1
254.0,2019-05-21T08:02:52.710000Z,1
254.0,2019-05-21T08:02:53.506000Z,1
254.0,2019-05-21T08:02:54.516000Z,1
240.0,2019-05-21T08:02:54.958000Z,1
240.0,2019-05-21T08:02:56.637000Z,1
259.25,2019-05-21T08:02:57.491000Z,1
254.0,2019-05-21T08:02:59.119000Z,1
254.875,2019-05-21T08:03:05.179500Z,1
273.25,2019-05-21T08:03:07.443000Z,1
254.0,2019-05-21T08:03:08.970000Z,1
253.125,2019-05-21T08:03:10.109500Z,1
253.125,2019-05-21T08:03:11.053500Z,1
251.375,2019-05-21T08:03:42.884500Z,1
254.0,2019-05-21T08:03:43.592000Z,1
256.625,2019-05-21T08:03:44.306500Z,1
258.375,2019-05-21T08:04:11.755500Z,1
258.375,2019-05-21T08:04:13.215500Z,1
259.25,2019-05-21T08:04:15.071000Z,1
258.375,2019-05-21T08:04:15.747500Z,1
257.5,2019-05-21T08:04:16.641000Z,1
257.5,2019-05-21T08:04:20.765000Z,1
257.5,2019-05-21T08:04:21.378000Z,1
259.25,2019-05-21T08:04:23.731000Z,1
259.25,2019-05-21T08:04:24.587000Z,1
240.875,2019-05-21T08:04:27.469500Z,1
468.375,2019-05-21T08:04:27.838500Z,1
259.25,2019-05-21T08:04:28.467000Z,1
259.25,2019-05-21T08:04:29.140000Z,1
240.875,2019-05-21T08:04:30.556500Z,1
259.25,2019-05-21T08:04:32.167000Z,1
259.25,2019-05-21T08:04:41.720000Z,1
260.125,2019-05-21T08:04:42.949500Z,1
252.25,2019-05-21T08:04:48.460000Z,1
260.125,2019-05-21T08:04:49.735500Z,1
260.125,2019-05-21T08:04:52.746500Z,1
261.0,2019-05-21T08:04:53.456000Z,1
260.125,2019-05-21T08:04:54.069500Z,1
240.875,2019-05-21T08:04:56.678500Z,1
261.0,2019-05-21T08:05:07.846000Z,1
260.125,2019-05-21T08:05:10.262500Z,1
258.375,2019-05-21T08:05:10.826500Z,1
261.875,2019-05-21T08:05:12.176500Z,1
253.125,2019-05-21T08:05:13.543500Z,1
261.875,2019-05-21T08:05:14.590500Z,1
261.875,2019-05-21T08:05:15.027500Z,1
262.75,2019-05-21T08:05:16.306000Z,1
262.75,2019-05-21T08:05:18.017000Z,1
262.75,2019-05-21T08:05:19.549000Z,1
262.75,2019-05-21T08:05:20.195000Z,1
261.875,2019-05-21T08:05:20.784500Z,1
250.5,2019-05-21T08:05:21.371000Z,1
262.75,2019-05-21T08:05:22.110000Z,1
258.375,2019-05-21T08:05:22.686500Z,1
261.0,2019-05-21T08:05:23.637000Z,1
262.75,2019-05-21T08:05:24.138000Z,1
242.625,2019-05-21T08:05:24.754500Z,1
258.375,2019-05-21T08:05:26.061500Z,1
262.75,2019-05-21T08:05:31.084000Z,1
263.625,2019-05-21T08:05:38.853500Z,1
262.75,2019-05-21T08:05:40.858000Z,1
709.0,2019-05-21T08:05:41.444000Z,1
263.625,2019-05-21T08:05:42.926500Z,1
263.625,2019-05-21T08:05:43.574500Z,1
263.625,2019-05-21T08:05:47.578500Z,1
263.625,2019-05-21T08:05:48.199500Z,1
263.625,2019-05-21T08:05:48.763500Z,1
468.375,2019-05-21T08:05:49.769500Z,1
264.5,2019-05-21T08:05:50.588000Z,1
264.5,2019-05-21T08:05:53.964000Z,1
264.5,2019-05-21T08:05:54.536000Z,1
263.625,2019-05-21T08:05:55.939500Z,1
262.75,2019-05-21T08:05:56.967000Z,1
264.5,2019-05-21T08:05:57.681000Z,1
265.375,2019-05-21T08:06:00.369500Z,1
264.5,2019-05-21T08:06:01.589000Z,1
268.875,2019-05-21T08:06:02.160500Z,1
263.625,2019-05-21T08:06:03.113500Z,1
265.375,2019-05-21T08:06:03.518500Z,1
264.5,2019-05-21T08:06:03.925000Z,1
265.375,2019-05-21T08:06:04.741500Z,1
264.5,2019-05-21T08:06:05.033000Z,1
264.5,2019-05-21T08:06:07.998000Z,1
265.375,2019-05-21T08:06:08.491500Z,1
265.375,2019-05-21T08:06:09.020500Z,1
266.25,2019-05-21T08:06:10.405000Z,1
265.375,2019-05-21T08:06:10.935500Z,1
265.375,2019-05-21T08:06:12.031500Z,1
265.375,2019-05-21T08:06:13.634500Z,1
265.375,2019-05-21T08:06:14.448500Z,1
266.25,2019-05-21T08:06:15.216000Z,1
265.375,2019-05-21T08:06:16.061500Z,1
268.875,2019-05-21T08:06:24.729500Z,1
266.25,2019-05-21T08:06:26.720000Z,1
268.0,2019-05-21T08:06:28.148000Z,1
261.0,2019-05-21T08:06:28.527000Z,1
266.25,2019-05-21T08:06:28.920000Z,1
267.125,2019-05-21T08:06:29.781500Z,1
267.125,2019-05-21T08:06:30.885500Z,1
267.125,2019-05-21T08:06:31.658500Z,1
266.25,2019-05-21T08:06:32.726000Z,1
267.125,2019-05-21T08:06:33.209500Z,1
267.125,2019-05-21T08:06:33.977500Z,1
266.25,2019-05-21T08:06:34.837000Z,1
267.125,2019-05-21T08:06:35.616500Z,1
267.125,2019-05-21T08:06:36.750500Z,1
267.125,2019-05-21T08:06:37.069500Z,1
267.125,2019-05-21T08:06:37.961500Z,1
267.125,2019-05-21T08:06:38.779500Z,1
266.25,2019-05-21T08:06:39.582000Z,1
267.125,2019-05-21T08:06:40.152500Z,1
267.125,2019-05-21T08:06:40.844500Z,1
267.125,2019-05-21T08:06:41.154500Z,1
267.125,2019-05-21T08:06:41.581500Z,1
267.125,2019-05-21T08:06:42.000500Z,1
267.125,2019-05-21T08:06:42.359500Z,1
266.25,2019-05-21T08:06:52.981000Z,1
267.125,2019-05-21T08:06:54.745500Z,1
267.125,2019-05-21T08:06:57.383500Z,1
268.0,2019-05-21T08:06:58.271000Z,1
268.0,2019-05-21T08:06:58.954000Z,1
