Depth,Acq. Time,Pick Time,Flow
m, ,s,Gal./min.
392.004,07/05/2017 20:31:30,0.3,-2.96037
392.004,07/05/2017 20:32:30,28.4,0.0085532
392.004,07/05/2017 20:33:15,30.8,0.00786722
394.002,07/05/2017 20:23:18,32,0.00756387
394.002,07/05/2017 20:24:13,20.9,0.0117549
394.002,07/05/2017 20:25:03,21.2,0.0115815
394.003,07/05/2017 20:20:35,0.3,-2.96037
394.003,07/05/2017 20:22:04,0.3,3.21599
396.001,07/05/2017 20:14:59,41,0.00586689
396.001,07/05/2017 20:16:28,26.3372,0.00924602
396.001,07/05/2017 20:17:15,24.85,0.00981939
396.001,07/05/2017 20:18:03,25.5,0.00956029
396.001,07/05/2017 20:18:53,26.4,0.00922329
398.001,07/05/2017 20:09:14,34.9,0.00691907
398.001,07/05/2017 20:10:40,24.6,0.00992282
398.001,07/05/2017 20:11:25,23.3,0.0104978
398.001,07/05/2017 20:12:09,22.6,0.0108358
398.001,07/05/2017 20:12:53,23.1,0.0105922
400,07/05/2017 19:58:50,27.65,0.00879277
400.001,07/05/2017 20:04:05,28.9,0.00840061
400.001,07/05/2017 20:04:56,24.1,0.0101364
400.001,07/05/2017 20:06:10,27.5,0.0088423
400.001,07/05/2017 20:07:04,23.15,0.0105684
